"","Name","Description"
"12165","ENSG00000111145.3","ELK3"
"12192","ENSG00000136048.9","DRAM1"
"12205","ENSG00000166598.8","HSP90B1"
"12211","ENSG00000198431.11","TXNRD1"
"12278","ENSG00000111252.6","SH2B3"
"12313","ENSG00000111412.4","C12orf49"
"12338","ENSG00000089159.11","PXN"
"12365","ENSG00000182500.7","ORAI1"
"12416","ENSG00000150991.10","UBC"
"12476","ENSG00000150457.7","LATS2"
"12530","ENSG00000132952.7","USPL1"
"12532","ENSG00000102802.5","MEDAG"
"12577","ENSG00000120696.8","KBTBD7"
"12608","ENSG00000102445.14","KIAA0226L"
"12609","ENSG00000136141.10","LRCH1"
"12706","ENSG00000102580.10","DNAJC3"
"12748","ENSG00000187498.10","COL4A1"
"12749","ENSG00000134871.13","COL4A2"
"12750","ENSG00000139832.3","RAB20"
"12753","ENSG00000153487.11","ING1"
"12806","ENSG00000129566.8","TEP1"
"12811","ENSG00000198805.7","PNP"
"12905","ENSG00000196497.11","IPO4"
"12963","ENSG00000100906.6","NFKBIA"
"13003","ENSG00000168282.4","MGAT2"
"13011","ENSG00000165527.5","ARF6"
"13071","ENSG00000032219.14","ARID4A"
"13089","ENSG00000100625.8","SIX4"
"13096","ENSG00000100644.12","HIF1A"
"13138","ENSG00000139990.13","DCAF5"
"13146","ENSG00000100647.7","KIAA0247"
"13177","ENSG00000156030.8","ELMSAN1"
"13207","ENSG00000170345.5","FOS"
"13314","ENSG00000196136.12","SERPINA3"
"13357","ENSG00000080824.14","HSP90AA1"
"13364","ENSG00000089902.8","RCOR1"
"13497","ENSG00000137801.9","THBS1"
"13556","ENSG00000092531.5","SNAP23"
"13579","ENSG00000167004.8","PDIA3"
"13584","ENSG00000140259.6","MFAP1"
"13607","ENSG00000137767.9","SQRDL"
"13628","ENSG00000104064.12","GABPB1"
"13632","ENSG00000138600.5","SPPL2A"
"13654","ENSG00000069974.11","RAB27A"
"13687","ENSG00000182718.12","ANXA2"
"13708","ENSG00000166794.4","PPIB"
"13766","ENSG00000140332.11","TLE3"
"13795","ENSG00000140464.15","PML"
"13821","ENSG00000167173.14","C15orf39"
"13854","ENSG00000140403.8","DNAJA4"
"13925","ENSG00000183655.11","KLHL25"
"13930","ENSG00000140543.9","DET1"
"13931","ENSG00000181026.13","AEN"
"13932","ENSG00000172183.10","ISG20"
"13934","ENSG00000140511.7","HAPLN3"
"13963","ENSG00000140564.6","FURIN"
"13964","ENSG00000182511.7","FES"
"14004","ENSG00000131873.5","CHSY1"
"14114","ENSG00000167965.13","MLST8"
"14145","ENSG00000006327.9","TNFRSF12A"
"14180","ENSG00000168140.4","VASN"
"14207","ENSG00000140650.7","PMM2"
"14275","ENSG00000205730.5","ITPRIPL2"
"14298","ENSG00000188215.5","DCUN1D3"
"14341","ENSG00000155592.11","ZKSCAN2"
"14346","ENSG00000077238.9","IL4R"
"14362","ENSG00000196502.7","SULT1A1"
"14389","ENSG00000013364.14","MVP"
"14467","ENSG00000185947.10","ZNF267"
"14484","ENSG00000102893.11","PHKB"
"14531","ENSG00000205362.6","MT1A"
"14539","ENSG00000051108.10","HERPUD1"
"14541","ENSG00000140853.11","NLRC5"
"14611","ENSG00000125122.10","LRRC29"
"14613","ENSG00000135723.9","FHOD1"
"14680","ENSG00000157349.11","DDX19B"
"14704","ENSG00000140830.4","TXNL4B"
"14712","ENSG00000196436.7","NPIPB15"
"14716","ENSG00000168404.8","MLKL"
"14776","ENSG00000135686.8","KLHL36"
"14778","ENSG00000103196.7","CRISPLD2"
"14856","ENSG00000167695.10","FAM57A"
"14872","ENSG00000074660.11","SCARF1"
"14919","ENSG00000167740.5","CYB5D2"
"14939","ENSG00000108556.7","CHRNE"
"14944","ENSG00000108518.7","PFN1"
"14954","ENSG00000180626.9","ZNF594"
"14980","ENSG00000161940.6","BCL6B"
"14981","ENSG00000174327.6","SLC16A13"
"15017","ENSG00000161960.10","EIF4A1"
"15030","ENSG00000132510.6","KDM6B"
"15179","ENSG00000034152.14","MAP2K3"
"15248","ENSG00000126861.4","OMG"
"15262","ENSG00000010244.12","ZNF207"
"15270","ENSG00000108691.5","CCL2"
"15350","ENSG00000108296.7","CWC25"
"15362","ENSG00000167258.9","CDK12"
"15392","ENSG00000141753.5","IGFBP4"
"15471","ENSG00000168256.13","NKIRAS2"
"15482","ENSG00000168610.10","STAT3"
"15493","ENSG00000068137.10","PLEKHH3"
"15532","ENSG00000161653.6","NAGS"
"15541","ENSG00000108312.10","UBTF"
"15568","ENSG00000168517.6","HEXIM2"
"15684","ENSG00000214226.4","C17orf67"
"15721","ENSG00000062716.6","VMP1"
"15871","ENSG00000132481.2","TRIM47"
"15888","ENSG00000176170.9","SPHK1"
"15897","ENSG00000070495.10","JMJD6"
"15914","ENSG00000184557.3","SOCS3"
"15927","ENSG00000167280.12","ENGASE"
"15969","ENSG00000185624.10","P4HB"
"15971","ENSG00000183684.6","ALYREF"
"15973","ENSG00000185813.6","PCYT2"
"15979","ENSG00000169696.11","ASPSCR1"
"15989","ENSG00000141526.10","SLC16A3"
"15993","ENSG00000141574.3","SECTM1"
"16008","ENSG00000176845.8","METRNL"
"16026","ENSG00000101608.8","MYL12A"
"16060","ENSG00000176014.8","TUBB6"
"16067","ENSG00000175354.14","PTPN2"
"16082","ENSG00000158201.5","ABHD3"
"16109","ENSG00000134755.10","DSC2"
"16240","ENSG00000166401.9","SERPINB8"
"16288","ENSG00000101544.4","ADNP2"
"16289","ENSG00000267270.1","AC139100.2"
"16307","ENSG00000070404.5","FSTL3"
"16311","ENSG00000011304.12","PTBP1"
"16330","ENSG00000064932.11","SBNO2"
"16334","ENSG00000167470.8","MIDN"
"16363","ENSG00000099875.10","MKNK2"
"16379","ENSG00000099860.4","GADD45B"
"16442","ENSG00000074842.3","C19orf10"
"16487","ENSG00000125733.13","TRIP10"
